time,Open,High,Low,Close,Volume,ema_20,ema_50,ema_200,rsi,MACD_36_72_24,MACDh_36_72_24,MACDs_36_72_24,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,atr,obv,PP,R1,R2,R3,S1,S2,S3
2024-01-17 06:00:00,35.606,35.673,35.477,35.502,3083,35.23575636517059,35.02777607843137,,65.45847587502087,,,,34.68742775715408,35.1536,35.61977224284591,2.652202009728246,0.8736816223474326,0.13783516635291543,29892.0,35.55066666666667,35.62433333333335,35.74666666666668,35.94266666666668,35.42833333333334,35.35466666666667,35.15866666666666
2024-01-17 10:00:00,35.501,35.61,35.474,35.588,2681,35.269303378011486,35.04974564398309,,67.3685813006996,,,,34.67967981655414,35.180099999999996,35.68052018344585,2.844904837938802,0.9075575021687151,0.13773986237198382,32573.0,35.55733333333333,35.64066666666667,35.693333333333335,35.82933333333334,35.504666666666665,35.42133333333333,35.28533333333333
2024-01-17 14:00:00,35.588,35.706,35.587,35.633,4660,35.303941151534204,35.07261836382689,,68.32334945416086,,,,34.67484989700377,35.20885,35.74285010299623,3.0333288533776646,0.8971441181566572,0.1367708419976695,37233.0,35.642,35.697,35.761,35.88,35.578,35.523,35.404
2024-01-17 18:00:00,35.636,35.686,35.562,35.59,555,35.33118485138809,35.09290783975525,,66.3898313496409,,,,34.68692310761142,35.23765,35.788376892388584,3.1257867218079625,0.8198954008508724,0.13611316386396594,36678.0,35.61266666666666,35.66333333333333,35.736666666666665,35.86066666666667,35.539333333333325,35.48866666666666,35.36466666666666
2024-01-17 22:00:00,35.606,35.614,35.438,35.484,1694,35.34573867506541,35.10824478721583,,61.89222572392703,,,,34.71687009598671,35.2633,35.809729904013295,3.0991421903979166,0.7019472199261548,0.13815933489255097,34984.0,35.512,35.586,35.687999999999995,35.86399999999999,35.410000000000004,35.336000000000006,35.16000000000001
2024-01-18 02:00:00,35.484,35.686,35.484,35.619,1926,35.371763563154424,35.128274403403445,,65.03471330347264,,,,34.754334856775785,35.29815,35.841965143224215,3.081267110169882,0.7949991407904887,0.1414223141998655,36910.0,35.596333333333334,35.708666666666666,35.79833333333333,36.00033333333333,35.50666666666667,35.394333333333336,35.19233333333334
2024-01-18 06:00:00,35.622,35.636,35.538,35.591,2700,35.39264322380639,35.146420505230765,,63.89632893748669,,,,34.81022520127581,35.33345,35.856674798724185,2.9616400250990846,0.7461179216161038,0.13921066695358403,34210.0,35.58833333333334,35.63866666666668,35.686333333333344,35.78433333333335,35.540666666666674,35.49033333333333,35.392333333333326
2024-01-18 10:00:00,35.592,35.649,35.526,35.644,2480,35.41658196439626,35.165933426594265,,65.10082519791375,,,,34.88012316279476,35.372550000000004,35.86497683720525,2.7842314857438537,0.7756247014689553,0.13838772966662957,36690.0,35.60633333333334,35.686666666666675,35.72933333333334,35.852333333333334,35.56366666666668,35.48333333333334,35.360333333333344
2024-01-18 14:00:00,35.642,35.667,35.602,35.656,3082,35.43938368207281,35.185151723590565,,65.37328318945596,,,,34.93987213040064,35.407599999999995,35.87532786959935,2.6419631355943802,0.765539019743228,0.1346738732411134,39772.0,35.64166666666667,35.68133333333335,35.70666666666668,35.77166666666668,35.616333333333344,35.57666666666667,35.51166666666666
2024-01-18 18:00:00,35.657,35.676,35.57,35.578,420,35.45258523616111,35.200557538351724,,62.09114986297089,,,,35.01480902533496,35.438750000000006,35.86269097466505,2.3925278101797818,0.6642327686183419,0.13322712569905995,39352.0,35.608000000000004,35.64600000000001,35.714000000000006,35.82000000000001,35.540000000000006,35.502,35.396
